i,l,l_marked,F,D,Omega,B,C
1,1,0,2,2,2,-0.0235,0.
2,2,0,2,0,1,-0.0404,0.
3,2,0,2,0,2,-0.0987,0.
4,0,0,2,2,1,-0.0508,0.
5,0,0,2,2,2,-0.1231,0.
6,1,0,2,0,0,-0.0385,0.
7,1,0,2,0,1,-0.4108,0.
8,1,0,2,0,2,-0.9926,0.
9,3,0,0,0,0,-0.0179,0.
10,-1,0,2,2,1,-0.0818,0.
11,-1,0,2,2,2,-0.1974,0.
12,1,0,0,2,0,-0.0761,0.
13,2,0,2,-2,2,0.0216,0.
14,0,1,2,0,2,0.0254,0.
15,0,0,2,0,0,-0.2989,0.
16,0,0,2,0,1,-3.1873,0.201
17,0,0,2,0,2,-7.8468,0.5320
18,2,0,0,0,-1,0.0216,0.
19,2,0,0,0,0,-0.3384,0.
20,2,0,0,0,1,0.0179,0.
21,0,-1,2,0,2,-0.0244,0.
22,0,0,0,2,-1,0.0470,0.
23,0,0,0,2,0,-0.7341,0.
24,0,0,0,2,1,-0.0526,0.
25,0,-1,0,2,0,-0.0508,0.
26,1,0,2,-2,1,0.0498,0.
27,1,0,2,-2,2,0.1006,0.
28,1,1,0,0,0,0.0395,0.
29,-1,0,2,0,0,0.0470,0.
30,-1,0,2,0,1,0.1767,0.
31,-1,0,2,0,2,0.4352,0.
32,1,0,0,0,-1,0.5339,0.
33,1,0,0,0,0,-8.4046,0.25
34,1,0,0,0,1,0.5443,0.
35,0,0,0,1,0,0.0470,0.
36,1,-1,0,0,0,-0.0555,0.
37,-1,0,0,2,-1,0.1175,0.
38,-1,0,0,2,0,-1.8236,0.
39,-1,0,0,2,1,0.1316,0.
40,1,0,-2,2,-1,0.0179,0.
41,-1,-1,0,2,0,-0.0855,0.
42,0,2,2,-2,2,-0.0573,0.
43,0,1,2,-2,1,0.0329,0.
44,0,1,2,-2,2,-1.8847,0.
45,0,0,2,-2,0,0.2510,0.
46,0,0,2,-2,1,1.1703,0.
47,0,0,2,-2,2,-49.7174,0.433
48,0,2,0,0,0,-0.1936,0.
49,2,0,0,-2,-1,0.0489,0.
50,2,0,0,-2,0,-0.5471,0.
51,2,0,0,-2,1,0.0367,0.
52,0,-1,2,-2,1,-0.0451,0.
53,0,1,0,0,-1,0.0921,0.
54,0,-1,2,-2,2,0.8281,0.
55,0,1,0,0,0,-15.8887,0.153
56,0,1,0,0,1,-0.1382,0.
57,1,0,0,-1,0,0.0348,0.
58,2,0,-2,0,0,-0.1372,0.
59,-2,0,2,0,1,0.4211,0.
60,-1,1,0,1,0,-0.0404,0.
61,0,0,0,0,2,7.8998,0.
62,0,0,0,0,1,-1617.2681,0.
